src_ip,dst_ip,protocol,src_port,dst_port,packet_count,total_bytes,duration_sec,packets_per_sec,bytes_per_sec,mean_packet_size,variance_packet_size,stddev_packet_size
192.168.170.8,192.168.170.20,udp,32795,53,12,892,271.16473388671875,0.044253542221360895,3.28951330512116,74.33333333333333,18.78787878787879,4.334498677803326
192.168.170.20,192.168.170.8,udp,53,32795,12,1328,271.23680782318115,0.044241783024606234,4.89609065472309,110.66666666666667,3781.3333333333335,61.49254697386776
192.168.170.8,192.168.170.20,udp,32796,53,1,82,1e-06,1000000.0,82000000.0,82.0,0.0,0.0
192.168.170.20,192.168.170.8,udp,53,32796,1,105,1e-06,1000000.0,105000000.0,105.0,0.0,0.0
192.168.170.8,192.168.170.20,udp,32797,53,1,67,1e-06,1000000.0,67000000.0,67.0,0.0,0.0
192.168.170.56,217.13.4.24,udp,1707,53,1,129,1e-06,1000000.0,129000000.0,129.0,0.0,0.0
192.168.170.20,192.168.170.8,udp,53,32797,1,166,1e-06,1000000.0,166000000.0,166.0,0.0,0.0
217.13.4.24,192.168.170.56,udp,53,1707,1,129,1e-06,1000000.0,129000000.0,129.0,0.0,0.0
192.168.170.56,217.13.4.24,udp,1708,53,1,98,1e-06,1000000.0,98000000.0,98.0,0.0,0.0
217.13.4.24,192.168.170.56,udp,53,1708,1,98,1e-06,1000000.0,98000000.0,98.0,0.0,0.0
192.168.170.56,217.13.4.24,udp,1709,53,1,140,1e-06,1000000.0,140000000.0,140.0,0.0,0.0
217.13.4.24,192.168.170.56,udp,53,1709,1,140,1e-06,1000000.0,140000000.0,140.0,0.0,0.0
192.168.170.56,217.13.4.24,udp,1710,53,1,83,1e-06,1000000.0,83000000.0,83.0,0.0,0.0
217.13.4.24,192.168.170.56,udp,53,1710,1,83,1e-06,1000000.0,83000000.0,83.0,0.0,0.0
192.168.170.56,217.13.4.24,udp,1711,53,1,83,1e-06,1000000.0,83000000.0,83.0,0.0,0.0
217.13.4.24,192.168.170.56,udp,53,1711,1,83,1e-06,1000000.0,83000000.0,83.0,0.0,0.0

192.168.1.100,93.184.216.34,tcp,54321,80,1,77,1e-06,1000000.0,77000000.0,77.0,0.0,0.0
192.168.1.100,8.8.8.8,udp,54322,53,1,57,1e-06,1000000.0,57000000.0,57.0,0.0,0.0

